"GeneID","baseMean","log2FoldChange","lfcSE","pvalue","padj","protein_gene_abrev_isoform","gene_pathway","protein_family_common","protein_family_common_abrev","protein_family_isoform","ec_number","reaction_id","enzyme_id","locus_id","expression_id_eff","est_expression","pyro_expression","evidence_targeting","evidence_for_function","mutant_names","remarks","ref_1","ref_2","ref_3"
"AT5G04930",5947.73928277911,0.71420995203125,0.121611965259446,0.00000000224330026717684,0.0000000154123595392943,"ALA1","Lipid Trafficking","Aminophospholipid ATPase","ALA1","Aminophospholipid ATPase","3.6.1.3","190",273,581,341,2.00952111,1.59694026,"targetP, RC3","Sequence similarity and heterologous protein expression",NA,NA,"Gomes et al 2000;http://www.ncbi.nlm.nih.gov/pubmed/11148289?ordinalpos=&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.SmartSearch&log$=citationsensor",NA,NA
"AT5G05580",9.33476123526533,1.56801026901345,0.903343427010591,0.010722051078648,0.0251893276122227,"FAD8","Plastidial Glycerolipid, Galactolipid & Sulfolipid Synthesis","Linoleate Desaturase","FAD8","Linoleate Desaturase","1.14.99.*","27",274,582,361,2.21047322,4.65774243,"targetP, RC2","Mutant characterization and functional complementation","fad8",NA,"McConn et al 1994;http://www.ncbi.nlm.nih.gov/pubmed/12232435?log$=activity","Matsuda et al 2005;http://www.ncbi.nlm.nih.gov/pubmed/15545277?dopt=Abstract",NA
"AT5G05580",124.511480033424,1.96015801267951,0.239450040810024,0.0000000000000000429833977838534,0.000000000000000620817455157308,"FAD8","Plastidial Glycerolipid, Galactolipid & Sulfolipid Synthesis","Linoleate Desaturase","FAD8","Linoleate Desaturase","1.14.99.*","27",274,582,361,2.21047322,4.65774243,"targetP, RC2","Mutant characterization and functional complementation","fad8",NA,"McConn et al 1994;http://www.ncbi.nlm.nih.gov/pubmed/12232435?log$=activity","Matsuda et al 2005;http://www.ncbi.nlm.nih.gov/pubmed/15545277?dopt=Abstract",NA
"AT5G05960",119.892557805586,2.39876575823512,0.40205219643848,0.000000000248682433387726,0.00000000190813359023718,NA,"Cuticular Wax Synthesis","Lipid Transfer Protein","LTP","Lipid Transfer Protein type 4",NA,"162",193,583,368,2.31094928,0.79847013,"targetP, RC2","Sequence similarity",NA,NA,NA,NA,NA
"AT5G07550",2.48003768627947,0.51015981528226,1.01160120673763,0.0229704061912771,0.0493539226869593,NA,"TAG Synthesis","Pollen-surface Oleosin","PO","Pollen-surface Oleosin",NA,"165",204,591,612,71.5389516,0,"targetP, RC1","Sequence similarity",NA,"Tapetum specific expression","Kim et al 2002;http://www.ncbi.nlm.nih.gov/pubmed/11929861",NA,NA
"AT5G08415",1238.23588656743,-1.49474224797584,0.155857003150122,0.000000000000000000000180948219635764,0.0000000000000000000038368530787663,NA,"Plastidial Fatty Acid Synthesis","Lipoate Synthase","LS","Lipoate Synthase","2.8.1.8","15",21,597,728,NA,NA,NA,"Complementation of E. coli mutant",NA,"I have modified the agi number of this enzyme, all the TAIR references (description, sequences) should be modified accordingly","Yasuno et al 2002;http://www.ncbi.nlm.nih.gov/pubmed/12062419?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum",NA,NA
"AT5G08570",3664.8204529797,0.761646774371608,0.102276977931319,0.0000000000000545333513023642,0.000000000000607932661050047,NA,"Glycolysis","Pyruvate Kinase","PK",NA,"2.7.1.40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Andre et al 2007;http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1955724/?tool=pubmed",NA,NA
"AT5G10160",1284.52466148844,-1.02499696895344,0.100947718945355,0.00000000000000000000000133210001510226,0.0000000000000000000000323233499391052,NA,"Plastidial Fatty Acid Synthesis","Hydroxyacyl-ACP Dehydrase","HAD","Hydroxyacyl-ACP Dehydrase","4.2.1.*","5",11,600,445,3.617138,2.12925368,"targetP, RC2","Sequence similarity to A. thaliana Hydroxyacyl-ACP Dehydrase AT2G22230",NA,NA,"Brown et al 2009;http://www.ncbi.nlm.nih.gov/pubmed/19101548?dopt=Abstract",NA,NA
"AT5G11650",528.251344386929,0.454739878705863,0.156113172941773,0.00285885022676877,0.00771835187491218,NA,"TAG Degradation","Monoacylglycerol lipase (MAGL)","MAGL","Monoacylglycerol lipase (MAGL)","3.1.1.23","85",112,603,317,1.70809294,0.93154849,"targetP, RC4","Sequence homology ONLY (To human monoacylglycerol lipase GB NP_009214 BLAST score>100)",NA,NA,NA,NA,NA
"AT5G11670",17377.1778661437,0.516239687252942,0.134921086530493,0.0000990905315360442,0.000358925740186769,NA,"Glycolysis","NADP-Malic Enzyme","ATNADP-ME2",NA,"1.1.1.40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wheeler et al 2006;http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1203356/?tool=pubmed",NA,NA
