"GeneID","baseMean","log2FoldChange","lfcSE","pvalue","padj","protein_gene_abrev_isoform","gene_pathway","protein_family_common","protein_family_common_abrev","protein_family_isoform","ec_number","reaction_id","enzyme_id","locus_id","expression_id_eff","est_expression","pyro_expression","evidence_targeting","evidence_for_function","mutant_names","remarks","ref_1","ref_2","ref_3"
"AT3G15020",175.977912321838,0.521391472949108,0.237946424935073,0.00229515595494557,0.0320197405702926,NA,"Glycolysis","NAD-dependent malate dehydrogenase","MDH",NA,"1.1.1.37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT3G15820",1454.42699210347,-0.504945089918554,0.1562925367002,0.000123631840112734,0.00358813991598168,"PDCT;ROD1","TAG Synthesis","Phosphatidylcholine:diacylglycerol cholinephosphotransferase","PDCT","Phosphatidylcholine:diacylglycerol cholinephosphotransferase","2.7.8.*","68",278,734,767,NA,NA,NA,"Mutant Analysis and Heterologous Expression",NA,NA,"Lu et al 2009;http://www.ncbi.nlm.nih.gov/pubmed/19833868",NA,NA
"AT3G18280",775.122216688945,1.57055185912992,0.287018300581232,0.00000000213149227989419,0.000000382168671369177,NA,"Cuticular Wax Synthesis","Lipid Transfer Protein","LTP","Lipid Transfer Protein type 2",NA,"162",193,358,508,5.92808728,7.85162296,"targetP, RC1","Sequence similarity",NA,NA,NA,NA,NA
"AT3G21090",105.85473573161,-0.634262113763756,0.324989427244564,0.00275262361283389,0.0368368927197682,"AtWBC15;22;AtABCG15","Cuticular Wax Synthesis","ABC Transporter","ABC","ABC Transporter",NA,NA,230,365,680,NA,NA,NA,"Sequence similarity to ABCG11 and ABCG12/CER5",NA,NA,NA,NA,NA
"AT3G22570",15.9604309078595,4.0102310752519,1.32535392207719,0.000161329384006276,0.00444684120446564,NA,"Cuticular Wax Synthesis","Lipid Transfer Protein","LTP","Lipid Transfer Protein type 5",NA,"162",193,367,254,1.20571267,0,"targetP, RC1","Sequence similarity",NA,NA,NA,NA,NA
"AT3G22600",609.903590790398,4.39731305980283,0.396282336126958,0.0000000000000000000000000000154591713110082,0.0000000000000000000000000623648735971589,NA,"Cuticular Wax Synthesis","Lipid Transfer Protein","LTP","Lipid Transfer Protein type 5",NA,"162",193,369,465,4.01904222,1.99617533,"targetP, RC2","Sequence similarity",NA,NA,NA,NA,NA
"AT3G22620",168.511503604922,2.59769100240263,0.493470445419118,0.0000000064639941808555,0.00000101598038407537,NA,"Cuticular Wax Synthesis","Lipid Transfer Protein","LTP","Lipid Transfer Protein type 5",NA,"162",193,370,384,2.51190139,1.1977052,"targetP, RC3","Sequence similarity",NA,NA,NA,NA,NA
"AT3G22960",20554.0244325761,-0.362794692558255,0.119221344244528,0.000555958471193424,0.0114046777638946,NA,"Glycolysis","Pyruvate Kinase","PK",NA,"2.7.1.40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Andre et al 2007;http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1955724/?tool=pubmed",NA,NA
"AT3G48610",1009.50679867213,0.445296045173634,0.150996379665894,0.000426300759727466,0.00938055444473029,"NPC6","Plastidial Glycerolipid, Galactolipid & Sulfolipid Synthesis","Phospholipase C (Non specific)","nsPLC","Phospholipase C (Non specific)","3.1.4.3","106",136,405,131,0.30142817,1.46386191,"targetP, RC3","sequence similarity to bacterial PC-PLC",NA,NA,"Nakamura et al 2005;http://www.ncbi.nlm.nih.gov/pubmed/15618226?log$=activity",NA,NA
"AT3G49210",813.373784432341,0.534878487334936,0.231394426183037,0.00172633306241201,0.0261325151817903,NA,"Cuticular Wax Synthesis","Bifunctional Wax Ester Synthase / Diacylglycerol Acyltransferase","WSD","Bifunctional Wax Ester Synthase / Diacylglycerol Acyltransferase","2.3.1.20, 2.3.1.75","78,201",192,411,176,0.60285633,0.26615671,"targetP, RC1","Sequence similarity to WSD1/AT5G37300",NA,NA,NA,NA,NA
